sex,length,diameter,height,wholeWeight,shuckedWeight,visceraWeight,shellWeight,rings,ageCategory
M,0.4450,0.3500,0.1200,0.4425,0.1920,0.0955,0.1350,8,5-10
M,0.4700,0.3850,0.1350,0.5895,0.2765,0.1200,0.1700,8,5-10
I,0.2450,0.1900,0.0600,0.0860,0.0420,0.0140,0.0250,4,<5
F,0.5050,0.4000,0.1250,0.5830,0.2460,0.1300,0.1750,7,5-10
M,0.4500,0.3450,0.1050,0.4115,0.1800,0.1125,0.1350,7,5-10
M,0.5050,0.4050,0.1100,0.6250,0.3050,0.1600,0.1750,9,5-10
F,0.5300,0.4100,0.1300,0.6965,0.3020,0.1935,0.2000,10,5-10
M,0.4250,0.3250,0.0950,0.3785,0.1705,0.0800,0.1000,7,5-10
M,0.5200,0.4000,0.1200,0.5800,0.2340,0.1315,0.1850,8,5-10
M,0.4750,0.3550,0.1200,0.4800,0.2340,0.1015,0.1350,8,5-10
F,0.5650,0.4400,0.1600,0.9150,0.3540,0.1935,0.3200,12,10-15
F,0.5950,0.4950,0.1850,1.2850,0.4160,0.2240,0.4850,13,10-15
F,0.4750,0.3900,0.1200,0.5305,0.2135,0.1155,0.1700,10,5-10
I,0.3100,0.2350,0.0700,0.1510,0.0630,0.0405,0.0450,6,5-10
M,0.5550,0.4250,0.1300,0.7665,0.2640,0.1680,0.2750,13,10-15
F,0.4000,0.3200,0.1100,0.3530,0.1405,0.0985,0.1000,8,5-10
F,0.5950,0.4750,0.1700,1.2470,0.4800,0.2250,0.4250,20,15-20
M,0.5700,0.4800,0.1750,1.1850,0.4740,0.2610,0.3800,11,10-15
F,0.6050,0.4500,0.1950,1.0980,0.4810,0.2895,0.3150,13,10-15
F,0.6000,0.4750,0.1500,1.0075,0.4425,0.2210,0.2800,15,10-15
M,0.5950,0.4750,0.1400,0.9440,0.3625,0.1890,0.3150,9,5-10
F,0.6000,0.4700,0.1500,0.9220,0.3630,0.1940,0.3050,10,5-10
F,0.5550,0.4250,0.1400,0.7880,0.2820,0.1595,0.2850,11,10-15
F,0.6150,0.4750,0.1700,1.1025,0.4695,0.2355,0.3450,14,10-15
F,0.5750,0.4450,0.1400,0.9410,0.3845,0.2520,0.2850,9,5-10
M,0.6200,0.5100,0.1750,1.6150,0.5105,0.1920,0.6750,12,10-15
F,0.5200,0.4250,0.1650,0.9885,0.3960,0.2250,0.3200,16,15-20
M,0.5950,0.4750,0.1600,1.3175,0.4080,0.2340,0.5800,21,20-25
M,0.5800,0.4500,0.1400,1.0130,0.3800,0.2160,0.3600,14,10-15
F,0.5700,0.4650,0.1800,1.2950,0.3390,0.2225,0.4400,12,10-15
M,0.6250,0.4650,0.1400,1.1950,0.4825,0.2050,0.4000,13,10-15
M,0.5600,0.4400,0.1600,0.8645,0.3305,0.2075,0.2600,10,5-10
F,0.4600,0.3550,0.1300,0.5170,0.2205,0.1140,0.1650,9,5-10
F,0.5750,0.4500,0.1600,0.9775,0.3135,0.2310,0.3300,12,10-15
M,0.5650,0.4250,0.1350,0.8115,0.3410,0.1675,0.2550,15,10-15
M,0.5550,0.4400,0.1500,0.7550,0.3070,0.1525,0.2600,12,10-15
M,0.5950,0.4650,0.1750,1.1150,0.4015,0.2540,0.3900,13,10-15
F,0.6250,0.4950,0.1650,1.2620,0.5070,0.3180,0.3900,10,5-10
M,0.6950,0.5600,0.1900,1.4940,0.5880,0.3425,0.4850,15,10-15
M,0.6650,0.5350,0.1950,1.6060,0.5755,0.3880,0.4800,14,10-15
M,0.5350,0.4350,0.1500,0.7250,0.2690,0.1385,0.2500,9,5-10
M,0.4700,0.3750,0.1300,0.5230,0.2140,0.1320,0.1450,8,5-10
M,0.4700,0.3700,0.1300,0.5225,0.2010,0.1330,0.1650,7,5-10
F,0.4750,0.3750,0.1250,0.5785,0.2775,0.0850,0.1550,10,5-10
I,0.3600,0.2650,0.0950,0.2315,0.1050,0.0460,0.0750,7,5-10
M,0.5500,0.4350,0.1450,0.8430,0.3280,0.1915,0.2550,15,10-15
M,0.5300,0.4350,0.1600,0.8830,0.3160,0.1640,0.3350,15,10-15
M,0.5300,,0.1400,0.7240,0.3105,0.1675,0.2050,10,5-10
M,0.6050,0.4700,0.1600,1.1735,0.4975,0.2405,0.3450,12,10-15
F,0.5200,0.4100,0.1550,0.7270,0.2910,0.1835,0.2350,12,10-15
F,0.5450,0.4300,0.1650,0.8020,0.2935,0.1830,0.2800,11,10-15
F,,0.4000,0.1250,0.6675,0.2610,0.1315,0.2200,10,5-10
F,0.5100,0.3900,0.1350,0.6335,0.2310,0.1790,0.2000,9,5-10
F,0.4350,0.3950,0.1050,0.3635,0.1360,0.0980,0.1300,9,5-10
M,0.4950,0.3950,0.1250,0.5415,0.2375,0.1345,0.1550,9,5-10
M,0.4650,0.3600,0.1050,0.4310,0.1720,0.1070,0.1750,9,5-10
I,0.4350,0.3200,0.0800,0.3325,0.1485,0.0635,0.1050,9,5-10
M,0.4250,0.3500,0.1050,0.3930,0.1300,0.0630,0.1650,9,5-10
F,0.5450,0.4100,0.1250,0.6935,0.2975,0.1460,0.2100,11,10-15
F,0.5300,,0.1150,0.5915,0.2330,0.1585,0.1800,11,10-15
F,0.4900,0.3750,0.1350,0.6125,0.2555,0.1020,0.2200,11,10-15
M,0.4400,0.3400,0.1050,0.4020,0.1305,0.0955,0.1650,10,5-10
F,0.5600,0.4300,0.1500,0.8825,0.3465,0.1720,0.3100,9,5-10
M,0.4050,0.3050,0.0850,0.2605,0.1145,0.0595,0.0850,8,5-10
F,0.4700,0.3650,0.1050,0.4205,0.1630,0.1035,0.1400,9,5-10
I,0.3850,0.2950,0.0850,0.2535,0.1030,0.0575,0.0850,7,5-10
F,0.5150,0.4250,0.1400,0.7660,0.3040,0.1725,0.2550,14,10-15
M,0.3700,0.2650,0.0750,0.2140,0.0900,0.0510,0.0700,6,5-10
I,0.3600,0.2800,0.0800,0.1755,0.0810,0.0505,0.0700,6,5-10
I,0.2700,0.1950,0.0600,0.0730,0.0285,0.0235,0.0300,5,<5
I,0.3750,0.2750,0.0900,0.2380,0.1075,0.0545,0.0700,6,5-10
I,0.3850,0.2900,0.0850,0.2505,0.1120,0.0610,0.0800,8,5-10
M,0.7000,0.5350,0.1600,1.7255,0.6300,0.2635,0.5400,19,15-20
M,0.7100,0.5400,0.1650,1.9590,0.7665,0.2610,0.7800,18,15-20
M,0.5950,0.4800,0.1650,1.2620,0.4835,0.2830,0.4100,17,15-20
F,0.4400,0.3500,0.1250,0.4035,0.1750,0.0630,0.1290,9,5-10
F,0.3250,0.2600,0.0900,0.1915,0.0850,0.0360,0.0620,7,5-10
I,0.3500,0.2600,0.0950,0.2110,0.0860,0.0560,0.0680,7,5-10
I,0.2650,0.2000,0.0650,0.0975,0.0400,0.0205,0.0280,7,5-10
F,0.4250,0.3300,0.1150,0.4060,0.1635,0.0810,0.1355,8,5-10
F,0.3050,0.2300,0.0800,0.1560,0.0675,0.0345,0.0480,7,5-10
M,0.3450,0.2550,0.0900,0.2005,0.0940,0.0295,0.0630,9,5-10
F,0.4050,0.3250,0.1100,0.3555,0.1510,0.0630,0.1170,9,5-10
M,0.3750,0.2850,0.0950,0.2530,0.0960,0.0575,0.0925,9,5-10
F,0.5650,0.4450,0.1550,0.8260,0.3410,0.2055,0.2475,10,5-10
F,0.5500,0.4500,0.1450,0.7410,0.2950,0.1435,0.2665,10,5-10
M,0.6500,0.5200,0.1900,1.3445,0.5190,0.3060,0.4465,16,15-20
M,0.5600,0.4550,0.1550,0.7970,0.3400,0.1900,0.2425,11,10-15
M,0.4750,0.3750,0.1300,0.5175,0.2075,0.1165,0.1700,10,5-10
F,0.4900,0.3800,0.1250,0.5490,0.2450,0.1075,0.1740,10,5-10
M,0.4600,0.3500,0.1200,0.5150,0.2240,0.1080,0.1565,10,5-10
I,0.2800,0.2050,0.0800,0.1270,0.0520,0.0390,0.0420,9,5-10
I,0.1750,0.1300,0.0550,0.0315,0.0105,0.0065,0.0125,5,<5
I,0.1700,0.1300,0.0950,0.0300,0.0130,0.0080,0.0100,4,<5
M,0.5900,0.4750,0.1450,1.0530,0.4415,0.2620,0.3250,15,10-15
F,0.6050,,0.1850,1.1185,0.4690,0.2585,0.3350,9,5-10
F,0.6350,0.5150,0.1900,1.3715,0.5065,0.3050,0.4500,10,5-10
F,0.6050,0.4850,0.1600,1.0565,0.3700,0.2355,0.3550,10,5-10
F,0.5650,0.4500,0.1350,0.9885,0.3870,0.1495,0.3100,12,10-15
M,0.5150,0.4050,0.1300,0.7220,0.3200,0.1310,0.2100,10,5-10
F,0.5750,0.4600,0.1900,0.9940,0.3920,0.2425,0.3400,13,10-15
M,0.6450,0.4850,0.2150,1.5140,0.5460,0.2615,0.6350,16,15-20
F,0.5800,0.4550,0.1700,0.9075,0.3740,0.2135,0.2850,13,10-15
F,0.5750,0.4600,0.1650,1.1240,0.2985,0.1785,0.4400,13,10-15
M,0.6050,0.4650,0.1650,1.0560,0.4215,0.2475,0.3400,13,10-15
F,0.6050,0.4850,0.1600,1.2220,0.5300,0.2575,0.2800,13,10-15
M,0.6100,0.4850,0.1750,1.2445,0.5440,0.2970,0.3450,12,10-15
F,0.7250,0.5600,0.2100,2.1410,0.6500,0.3980,1.0050,18,15-20
F,0.6500,0.5450,0.2300,1.7520,0.5605,0.2895,0.8150,16,15-20
M,0.7250,0.5700,0.1900,2.5500,1.0705,0.4830,0.7250,14,10-15
F,0.7250,0.5750,0.1750,2.1240,0.7650,0.4515,0.8500,20,15-20
F,0.6800,0.5700,0.2050,1.8420,0.6250,0.4080,0.6500,20,15-20
M,0.7050,0.5600,0.2200,1.9810,0.8175,0.3085,0.7600,14,10-15
F,0.6800,0.5150,0.1750,1.6185,0.5125,0.4090,0.6200,12,10-15
M,0.6950,0.5500,0.2150,1.9565,0.7125,0.5410,0.5900,14,10-15
F,0.5300,0.3950,0.1450,0.7750,0.3080,0.1690,0.2550,7,5-10
M,0.5250,0.4350,0.1550,1.0650,0.4860,0.2330,0.2850,8,5-10
F,0.5200,0.4050,0.1150,0.7760,0.3200,0.1845,0.2200,8,5-10
I,0.2350,0.1600,0.0400,0.0480,0.0185,0.0180,0.0150,5,<5
I,0.3600,0.2600,0.0900,0.1785,0.0645,0.0370,0.0750,7,5-10
I,0.3150,0.2100,0.0600,0.1250,0.0600,0.0375,0.0350,5,<5
I,0.3150,0.2450,0.0850,0.1435,0.0530,0.0475,0.0500,8,5-10
I,0.2250,0.1600,0.0450,0.0465,0.0250,0.0150,0.0150,4,<5
M,0.5800,0.4750,0.1500,0.9700,0.3850,0.2165,0.3500,11,10-15
M,0.5700,0.4800,0.1800,0.9395,0.3990,0.2000,0.2950,14,10-15
M,0.6400,0.5100,0.1750,1.3680,0.5150,0.2660,0.5700,21,20-25
F,0.5600,0.4500,0.1600,1.0235,0.4290,0.2680,0.3000,10,5-10
F,0.6200,0.4750,0.1750,1.0165,0.4355,0.2140,0.3250,10,5-10
F,0.6450,0.5100,0.2000,1.5675,0.6210,0.3670,0.4600,12,10-15
M,0.6200,0.4900,0.1900,1.2180,0.5455,0.2965,0.3550,13,10-15
F,0.6300,0.4800,0.1500,1.0525,0.3920,0.3360,0.2850,12,10-15
F,0.6300,,0.1850,1.3830,0.5400,0.3315,0.3800,10,5-10
F,0.6300,0.4800,0.1600,1.1990,0.5265,0.3350,0.3150,11,10-15
F,0.5850,0.4600,0.1700,0.9325,0.3650,0.2710,0.2900,9,5-10
M,0.6150,0.4800,0.1800,1.1595,0.4845,0.2165,0.3250,13,10-15
M,0.6100,0.4850,0.1700,1.0225,0.4190,0.2405,0.3600,12,10-15
M,0.5800,0.4500,0.1500,0.9270,0.2760,0.1815,0.3600,14,10-15
I,0.3550,0.2750,0.0850,0.2200,0.0920,0.0600,0.1500,8,5-10
F,0.5100,0.4000,0.1400,0.8145,0.4590,0.1965,0.1950,10,5-10
M,,0.4050,0.1550,0.7720,0.3460,0.1535,0.2450,12,10-15
F,0.5050,0.4100,0.1500,0.6440,0.2850,0.1450,0.2100,11,10-15
M,0.6400,,0.1850,1.3035,0.4445,0.2635,0.4650,16,15-20
M,0.5600,0.4500,0.1600,0.9220,0.4320,0.1780,0.2600,15,10-15
M,0.5850,0.4600,0.1850,0.9220,0.3635,0.2130,0.2850,10,5-10
F,0.4500,0.3450,0.1200,0.4165,0.1655,0.0950,0.1350,9,5-10
M,,0.4000,0.1650,0.8250,0.2540,0.2050,0.2850,13,10-15
F,,0.4000,0.1450,0.6300,0.2340,0.1465,0.2300,12,10-15
F,0.5300,0.4350,0.1700,0.8155,0.2985,0.1550,0.2750,13,10-15
M,0.4200,0.3350,0.1150,0.3690,0.1710,0.0710,0.1200,8,5-10
F,0.4400,0.3400,0.1400,0.4820,0.1860,0.1085,0.1600,9,5-10
I,0.4000,0.3000,0.1100,0.3150,0.1090,0.0670,0.1200,9,5-10
I,0.4350,0.3400,0.1100,0.3795,0.1495,0.0850,0.1200,8,5-10
F,0.5250,,0.1700,0.8325,0.2755,0.1685,0.3100,13,10-15
I,0.3700,0.2800,0.0950,0.2655,0.1220,0.0520,0.0800,7,5-10
F,0.4900,0.3650,0.1450,0.6345,0.1995,0.1625,0.2200,10,5-10
M,0.3350,0.2500,0.0900,0.1810,0.0755,0.0415,0.0600,7,5-10
F,,0.3250,0.1050,0.3800,0.1595,0.0785,0.1200,12,10-15
M,,0.4050,0.1400,0.6155,0.2410,0.1355,0.2050,9,5-10
F,0.4850,0.3950,0.1600,0.6600,0.2475,0.1280,0.2350,14,10-15
M,0.5500,0.4050,0.1400,0.8025,0.2440,0.1635,0.2550,10,5-10
M,0.4500,0.3500,0.1300,0.4600,0.1740,0.1110,0.1350,8,5-10
I,0.4050,0.3000,0.1200,0.3240,0.1265,0.0700,0.1100,7,5-10
M,0.4700,0.3600,0.1350,0.5010,0.1665,0.1150,0.1650,10,5-10
F,,0.3050,0.1300,0.3200,0.1305,0.0755,0.1050,8,5-10
F,0.4450,0.3250,0.1250,0.4550,0.1785,0.1125,0.1400,9,5-10
F,0.4700,0.3500,0.1450,0.5175,0.1870,0.1235,0.1800,11,10-15
F,0.4900,0.3750,0.1500,0.5755,0.2200,0.1440,0.1900,9,5-10
F,0.4450,0.3550,0.1500,0.4850,0.1810,0.1250,0.1550,11,10-15
I,0.4250,0.3800,0.1050,0.3265,0.1285,0.0785,0.1000,10,5-10
F,,0.3700,0.1350,0.4500,0.1715,0.1055,0.1550,9,5-10
F,0.3900,0.2900,0.1250,0.3055,0.1210,0.0820,0.0900,7,5-10
I,0.3650,0.2700,0.0850,0.2050,0.0780,0.0485,0.0700,7,5-10
F,0.5800,0.4650,0.1650,1.1015,0.4040,0.2095,0.3500,11,10-15
F,0.5300,,0.1600,0.7830,0.2935,0.1580,0.2450,15,10-15
M,0.5550,0.4450,0.1350,0.8360,0.3360,0.1625,0.2750,13,10-15
M,0.5650,0.4400,0.1750,0.9025,0.3100,0.1930,0.3250,14,10-15
M,0.6250,0.5050,0.2150,1.4455,0.4960,0.2870,0.4350,22,20-25
I,0.2750,0.2150,0.0750,0.1155,0.0485,0.0290,0.0350,7,5-10
I,0.4400,0.3500,0.1350,0.4350,0.1815,0.0830,0.1250,12,10-15
I,0.2950,0.2250,0.0800,0.1240,0.0485,0.0320,0.0400,9,5-10
I,0.0750,0.0550,0.0100,0.0020,0.0010,0.0005,0.0015,1,<5
I,0.1300,0.1000,0.0300,0.0130,0.0045,0.0030,0.0040,3,<5
I,0.1100,0.0900,0.0300,0.0080,0.0025,0.0020,0.0030,3,<5
I,0.1600,0.1200,0.0350,0.0210,0.0075,0.0045,0.0050,5,<5
M,0.5650,0.4250,0.1600,0.9425,0.3495,0.2185,0.2750,17,15-20
I,0.2700,0.2000,0.0700,0.1000,0.0340,0.0245,0.0350,5,<5
I,0.2300,0.1750,0.0650,0.0645,0.0260,0.0105,0.0200,5,<5
I,0.3000,0.2300,0.0800,0.1275,0.0435,0.0265,0.0400,8,5-10
I,0.3300,0.2550,0.0850,0.1655,0.0630,0.0390,0.0600,8,5-10
I,0.3500,0.2600,0.0850,0.1740,0.0705,0.0345,0.0600,10,5-10
I,0.3200,0.2450,0.0800,0.1585,0.0635,0.0325,0.0500,13,10-15
I,0.3600,0.2750,0.0850,0.1975,0.0745,0.0415,0.0700,9,5-10
I,0.3050,0.2450,0.0750,0.1560,0.0675,0.0380,0.0450,7,5-10
I,0.3450,0.2700,0.1100,0.2135,0.0820,0.0545,0.0700,7,5-10
I,0.3300,0.2500,0.1050,0.1715,0.0655,0.0350,0.0600,7,5-10
M,0.5900,0.4700,0.1800,1.1235,0.4205,0.2805,0.3600,13,10-15
F,0.5950,0.4550,0.1550,1.0605,0.5135,0.2165,0.3000,12,10-15
F,0.5750,0.4600,0.1850,1.0940,0.4485,0.2170,0.3450,15,10-15
M,0.6000,0.4950,0.1650,1.2415,0.4850,0.2775,0.3400,15,10-15
M,0.5600,0.4500,0.1750,1.0110,0.3835,0.2065,0.3700,15,10-15
M,0.5600,0.4500,0.1850,1.0700,0.3805,0.1750,0.4100,19,15-20
M,0.5450,0.4600,0.1600,0.8975,0.3410,0.1655,0.3450,10,5-10
F,0.6350,0.5050,0.1700,1.4150,0.6050,0.2970,0.3650,15,10-15
F,0.5900,0.4750,0.1600,1.1015,0.4775,0.2555,0.2950,13,10-15
F,0.5400,0.4750,0.1550,0.9280,0.3940,0.1940,0.2600,11,10-15
F,0.5700,0.4400,0.1250,0.8650,0.3675,0.1725,0.2700,12,10-15
M,0.5300,0.4200,0.1650,0.8945,0.3190,0.2390,0.2450,11,10-15
I,0.2450,0.1950,0.0600,0.0950,0.0445,0.0245,0.0260,4,<5
M,0.2700,0.2000,0.0800,0.1205,0.0465,0.0280,0.0400,6,5-10
F,0.4600,0.3800,0.1300,0.6390,0.3000,0.1525,0.1600,11,10-15
M,0.5200,0.4500,0.1500,0.8950,0.3615,0.1860,0.2350,14,10-15
M,0.3500,0.2750,0.1100,0.2925,0.1225,0.0635,0.0905,8,5-10
M,0.4700,0.3900,0.1500,0.6355,0.2185,0.0885,0.2550,9,5-10
F,0.4500,0.3600,0.1250,0.4995,0.2035,0.1000,0.1700,13,10-15
F,0.6400,0.5250,0.2150,1.7790,0.4535,0.2855,0.5500,22,20-25
M,0.5900,,0.2000,1.1870,0.4120,0.2705,0.3700,16,15-20
M,0.6200,0.4850,0.2050,1.2190,0.3875,0.2505,0.3850,14,10-15
M,0.6300,0.5050,0.2250,1.5250,0.5600,0.3335,0.4500,15,10-15
M,0.6300,0.5150,0.1550,1.2590,0.4105,0.1970,0.4100,13,10-15
M,0.6550,0.5400,0.2150,1.8440,0.7425,0.3270,0.5850,22,20-25
F,0.6600,0.5300,0.1850,1.3485,0.4930,0.2450,0.4900,12,10-15
M,0.6100,,0.2400,1.6420,0.5320,0.3345,0.6900,18,15-20
M,0.6350,0.5250,0.2050,1.4840,0.5500,0.3115,0.4300,20,15-20
F,0.5150,0.4250,0.1350,0.7120,0.2665,0.1605,0.2500,11,10-15
F,0.5350,,0.1850,0.8415,0.3140,0.1585,0.3000,15,10-15
I,0.3600,0.2850,0.1050,0.2415,0.0915,0.0570,0.0750,7,5-10
F,0.4550,0.3550,0.1200,0.4495,0.1770,0.1040,0.1500,9,5-10
M,0.4850,0.3950,0.1400,0.6295,0.2285,0.1270,0.2250,14,10-15
M,0.5150,0.3800,0.1750,0.9565,0.3250,0.1580,0.3100,14,10-15
F,0.5350,,0.1700,0.8790,0.2950,0.1965,0.2850,10,5-10
M,0.5300,0.4350,0.1550,0.6990,0.2880,0.1595,0.2050,10,5-10
F,0.4950,0.4000,0.1550,0.6445,0.2420,0.1325,0.2050,17,15-20
M,0.4400,0.3550,0.1250,0.4775,0.1320,0.0815,0.1900,9,5-10
F,0.5350,0.4350,0.1600,0.8105,0.3155,0.1795,0.2400,10,5-10
M,0.5400,0.4350,0.1800,0.9960,0.3835,0.2260,0.3250,17,15-20
F,0.5650,0.5050,0.2100,1.2765,0.5010,0.2790,0.3550,12,10-15
M,0.6100,0.4750,0.1650,1.1160,0.4280,0.2205,0.3150,15,10-15
F,0.5650,0.4550,0.1750,1.0130,0.3420,0.2070,0.3500,19,15-20
M,0.6000,0.4950,0.1950,1.0575,0.3840,0.1900,0.3750,26,25+
I,0.2950,0.2150,0.0850,0.1280,0.0490,0.0340,0.0400,6,5-10
I,0.2750,0.2050,0.0750,0.1105,0.0450,0.0285,0.0350,6,5-10
I,0.2800,0.2100,0.0850,0.1065,0.0390,0.0295,0.0300,4,<5
M,0.4900,0.3950,0.1400,0.5490,0.2215,0.1275,0.1500,11,10-15
M,0.3700,0.2800,0.1050,0.2340,0.0905,0.0585,0.0750,9,5-10
F,0.4050,0.3050,0.0950,0.3485,0.1455,0.0895,0.1000,9,5-10
F,0.5400,0.4350,0.1750,0.8920,0.3220,0.1740,0.3350,13,10-15
M,0.3700,0.2800,0.1000,0.2520,0.1065,0.0595,0.0740,8,5-10
M,0.3600,0.2700,0.1000,0.2170,0.0885,0.0495,0.0715,6,5-10
F,0.4700,0.3600,0.1300,0.4720,0.1820,0.1140,0.1500,10,5-10
I,0.2000,0.1450,0.0600,0.0370,0.0125,0.0095,0.0110,4,<5
I,0.1650,0.1200,0.0300,0.0215,0.0070,0.0050,0.0050,3,<5
M,0.6450,0.5150,0.2400,1.5415,0.4710,0.3690,0.5350,13,10-15
M,0.5500,0.4100,0.1250,0.7605,0.2505,0.1635,0.1950,14,10-15
M,0.5700,0.4350,0.1450,0.9055,0.3925,0.2355,0.2750,10,5-10
F,0.6300,0.4850,0.1900,1.2435,0.4635,0.3055,0.3900,21,20-25
M,0.5600,0.4400,0.1400,0.9710,0.4430,0.2045,0.2650,14,10-15
M,0.5950,0.4550,0.1950,1.3305,0.4595,0.3235,0.3450,19,15-20
F,0.6200,0.4700,0.2000,1.2255,0.3810,0.2700,0.4350,23,20-25
M,0.6300,0.4850,0.1750,1.3000,0.4335,0.2945,0.4600,23,20-25
I,0.4500,0.3550,0.1100,0.4585,0.1940,0.0670,0.1400,8,5-10
F,0.6350,0.5350,0.1900,1.2420,0.5760,0.2475,0.3900,14,10-15
M,0.4500,0.3500,0.1000,0.3675,0.1465,0.1015,0.1200,10,5-10
F,0.5800,0.4550,0.1550,0.8365,0.3150,0.1385,0.3200,18,15-20
I,0.3300,0.2550,0.0950,0.1720,0.0660,0.0255,0.0600,6,5-10
I,0.2650,0.2100,0.0600,0.0965,0.0425,0.0220,0.0300,5,<5
I,0.1900,0.1450,0.0400,0.0380,0.0165,0.0065,0.0150,4,<5
M,0.3850,0.3100,0.1000,0.2845,0.1065,0.0750,0.1000,11,10-15
I,0.2650,0.2050,0.0700,0.1055,0.0390,0.0410,0.0350,5,<5
M,0.3350,0.2650,0.1050,0.2220,0.0935,0.0560,0.0750,7,5-10
I,0.3550,0.2750,0.0900,0.2510,0.0970,0.0530,0.0800,7,5-10
