,intercolumnarDistance,upperMargin,lowerMargin,exploitation,rowNumber,modularRatio,interlinearSpacing,weight,peakNumber,modularRatioInterlinearSpacing,class
29,0.254,0.337,0.086,-0.980,0.262,-1.055,0.145,-0.626,0.064,-0.896,G
30,0.464,0.109,0.225,-1.411,0.262,0.066,0.258,0.468,0.282,0.050,A
31,-0.215,-0.142,0.097,-0.184,0.262,-1.263,0.145,-2.580,-2.087,-1.102,E
32,-0.314,0.164,0.200,0.132,0.262,-0.931,0.145,-0.899,-0.747,-0.802,E
33,-0.129,-0.134,0.264,0.431,0.262,-0.100,,0.364,-0.154,-0.063,F
34,0.241,-0.158,0.339,-1.204,0.262,-0.059,,1.066,0.345,-0.036,A
35,-0.030,-0.221,0.243,1.988,0.172,-0.225,,1.346,-0.092,-0.174,A
36,0.241,-0.126,0.417,0.096,0.172,-0.516,-2.724,1.342,0.812,-2.088,A
37,-0.252,0.070,0.246,0.524,0.262,-0.806,-0.044,1.485,1.093,-0.589,E
38,0.328,-2.427,0.008,-0.545,-0.006,-0.433,0.484,0.070,0.189,-0.529,A
39,0.155,-0.330,0.300,-0.334,0.083,-0.723,,0.537,0.095,-0.629,F
40,-0.265,-0.276,0.385,1.344,0.262,0.356,0.220,-0.648,-1.183,0.323,A
41,0.809,-0.291,0.036,-0.399,0.977,-0.640,-1.328,-0.172,1.031,0.335,I
42,0.032,0.298,-3.211,-0.584,-0.721,0.398,0.069,0.093,0.095,0.438,A
43,-0.277,0.031,0.442,0.132,0.172,0.190,0.069,0.033,-0.528,0.256,D
44,-0.215,0.777,0.502,-1.289,-0.721,2.294,0.245,-0.526,0.168,2.059,A
45,0.130,-0.024,0.246,0.121,0.083,0.149,0.409,0.220,-0.372,0.026,A
46,0.056,0.533,0.186,0.883,0.262,0.107,0.598,0.792,0.126,-0.126,A
47,-0.240,-0.425,0.090,1.095,0.262,1.561,0.145,0.394,0.345,1.462,A
48,-0.067,-0.276,0.253,0.372,-1.079,1.311,0.107,-0.524,0.002,1.243,A
49,0.155,-0.385,0.381,0.314,0.262,0.149,-0.044,0.231,-0.341,0.284,F
50,0.019,0.039,0.193,0.323,0.262,0.232,0.031,0.314,0.251,0.319,F
51,0.204,-0.276,0.360,-0.279,0.262,0.024,,-0.657,-0.591,0.041,A
52,-0.005,0.054,0.321,0.805,0.172,-0.100,-0.422,0.341,1.498,0.307,X
53,-0.055,0.180,0.239,-1.170,0.262,0.149,0.447,1.208,0.688,0.014,E
54,-0.277,0.039,0.421,3.987,0.172,-0.142,-3.177,1.870,0.906,0.222,X
55,0.501,0.141,0.389,-0.637,0.262,-2.716,-1.063,-0.900,-3.491,-1.948,H
56,0.254,-2.427,0.353,-0.051,-0.096,-0.557,-0.233,0.920,-0.029,-0.255,A
57,-0.277,-0.252,-3.203,1.958,0.262,2.308,0.447,1.933,1.686,2.013,X
58,-3.412,0.148,0.438,-1.048,-3.224,-0.183,-0.384,1.718,-0.684,0.171,E
59,0.809,-0.166,0.026,0.712,0.887,-1.055,-1.554,0.543,1.623,0.038,I
60,0.365,-0.150,0.172,0.043,0.262,-0.308,0.107,0.457,-0.310,-0.208,F
61,0.093,0.148,0.172,0.971,0.172,2.723,-2.800,-1.515,-1.058,0.045,A
62,-0.771,-0.111,0.328,0.262,0.172,0.315,0.069,-0.359,0.469,0.370,D
63,0.007,0.078,0.342,-0.129,0.262,-0.350,-0.082,0.320,0.033,-0.140,F
64,-0.289,0.093,0.403,-0.087,-1.436,0.232,0.258,0.523,0.095,0.219,E
65,-2.215,-0.299,0.353,0.055,-1.705,1.436,,-0.745,0.002,1.078,A
66,-0.005,0.486,0.118,0.447,0.262,-0.142,,0.294,0.282,-0.272,G
67,0.032,0.141,0.399,-0.817,0.262,-0.640,0.447,0.802,0.750,-0.680,H
68,0.476,-0.283,0.108,0.080,0.977,-1.222,-1.252,-0.520,1.467,-0.324,I
69,0.143,-1.916,-0.024,-0.504,0.262,0.481,0.333,0.894,0.532,0.373,A
70,0.130,-0.213,0.325,0.386,0.262,0.439,0.145,-0.651,-0.154,0.445,F
71,-3.499,0.486,0.140,-5.440,-0.006,0.149,0.635,0.038,-2.430,-0.090,A
72,0.315,0.517,-0.003,-2.543,0.262,-1.055,0.031,0.197,-0.279,-0.863,F
73,0.056,-0.087,0.090,1.312,0.083,-0.931,0.220,-1.857,-1.869,-0.825,A
74,-2.215,-0.173,3.941,-1.569,-2.509,-3.173,-5.707,2.598,-3.304,-4.783,A
75,0.155,0.141,0.229,0.766,-1.258,0.813,0.522,0.069,-0.248,0.554,A
76,0.229,-0.016,0.317,-0.527,0.262,-0.474,0.333,-0.717,0.002,-0.479,F
77,-3.499,0.203,0.954,-2.223,-4.922,-1.803,-3.291,-1.652,-2.493,-2.822,A
78,-3.499,0.745,0.150,0.685,-4.922,-0.350,0.522,1.300,-2.306,-0.464,A
79,-0.018,0.337,0.236,-0.511,-0.811,0.689,0.673,-1.170,-0.435,0.355,G
80,-0.166,-0.268,0.257,0.052,0.262,0.523,-1.214,-1.151,-0.934,1.431,A
81,0.562,-0.001,-3.211,-2.832,0.262,-0.474,0.371,-0.289,-0.154,-0.501,A
82,0.044,0.274,0.182,0.096,0.262,2.433,0.296,-2.035,-1.557,2.136,F
83,0.130,-1.649,-3.211,-2.636,-2.420,0.232,0.673,-1.340,-2.337,-0.036,A
84,-0.882,-1.948,0.218,2.046,0.172,1.519,1.353,-0.082,1.873,0.678,X
85,0.155,-0.236,0.015,0.559,0.172,0.481,-0.006,0.331,0.220,0.576,A
86,0.513,-0.307,0.061,1.372,0.977,-0.723,-1.252,0.870,1.093,0.210,I
87,-0.005,-0.260,0.367,-0.157,0.262,-0.433,-0.346,0.104,0.064,-0.064,F
88,0.019,0.039,0.193,0.323,0.262,0.273,0.107,-0.217,-0.092,0.317,F
89,-2.450,4.836,0.353,0.049,-2.420,-0.931,0.296,2.733,-2.867,-0.877,A
90,-0.141,0.729,0.079,0.152,0.262,-0.350,0.296,0.270,0.033,-0.354,F
91,-0.697,-0.056,-3.211,0.629,0.262,0.356,-0.157,1.037,0.064,0.540,W
92,-0.067,-0.433,-3.211,-0.875,0.172,-0.017,-0.157,-1.053,-0.092,0.196,A
93,0.093,0.423,0.022,-0.204,0.083,0.813,-0.157,-0.725,-1.246,0.921,A
94,0.241,-0.126,0.417,0.096,0.172,0.606,0.598,0.378,0.594,0.327,A
95,-0.129,-0.409,0.175,-0.257,0.083,0.564,0.900,1.312,0.750,0.152,E
96,,-0.056,0.211,-0.147,0.262,1.602,,-1.843,-0.965,1.468,E
97,-0.104,-0.079,0.012,0.221,0.262,0.606,1.013,0.165,0.282,0.099,A
98,-0.215,0.282,0.108,0.739,0.083,0.190,-0.006,0.360,0.688,0.296,E
99,0.106,0.557,-0.031,0.619,0.172,-0.225,0.145,0.920,0.282,-0.165,A
100,0.402,-0.299,0.328,0.432,-1.258,0.273,0.333,0.692,-0.185,0.191,A
101,-0.314,0.541,-0.042,0.883,0.262,0.938,0.069,0.191,0.002,0.954,F
102,-0.166,0.007,-2.172,-0.166,0.262,0.107,-0.006,1.698,0.875,0.239,E
103,-0.203,-0.378,0.435,0.245,-0.721,-1.097,0.031,2.137,1.062,-0.887,E
104,0.476,-0.283,0.108,0.080,0.977,-1.637,-1.063,-0.713,0.625,-0.836,I
105,0.032,-0.119,0.374,-0.067,0.262,0.149,0.220,0.682,0.501,0.128,A
106,0.167,0.148,0.278,-0.290,0.262,-0.806,0.635,0.266,0.594,-0.936,H
107,0.019,-0.338,-0.358,-0.113,0.172,3.346,0.296,-1.752,-1.776,2.987,A
108,0.229,-0.228,0.325,-0.869,0.262,-1.055,0.258,-0.260,0.002,-0.972,F
109,0.032,0.141,0.399,-0.817,0.262,-0.183,0.371,0.478,0.407,-0.240,H
110,0.044,0.007,1.349,-1.249,-0.185,-0.557,-0.044,2.353,0.438,-0.366,E
111,-0.252,-0.111,0.453,0.888,0.172,1.270,0.258,-0.636,-0.279,1.107,D
112,-0.178,-0.189,0.264,-0.640,0.172,1.145,0.107,-1.204,-1.277,1.083,A
113,-0.363,-0.189,0.641,0.681,0.172,0.107,-0.006,0.673,0.594,0.224,C
114,0.081,0.313,0.079,0.589,0.262,0.523,0.145,-0.318,-0.341,0.522,F
115,-0.363,0.235,0.001,0.760,0.262,0.024,,0.463,0.532,-0.160,G
116,1.130,-0.087,-0.003,-0.480,0.083,-0.474,0.371,0.432,-0.715,-0.509,A
117,0.143,-0.378,0.328,-0.040,0.262,0.190,0.598,-0.823,-0.747,-0.061,F
118,-0.265,-0.095,0.015,-0.597,0.262,0.273,0.711,-1.110,-0.435,-0.037,E
119,-0.055,0.580,0.033,-0.017,0.262,0.855,0.031,0.445,0.220,0.914,A
120,-0.018,-0.228,0.371,1.294,0.172,0.523,0.107,0.870,2.029,0.562,X
121,0.760,-1.304,-0.024,-0.974,-0.006,0.813,-2.234,1.137,1.904,2.609,I
122,0.155,-0.189,0.246,-1.224,0.083,0.896,0.107,1.306,0.126,0.890,A
123,0.118,-0.291,0.307,0.256,0.172,0.813,0.371,-0.526,0.220,0.638,A
124,-0.005,-0.660,0.346,-0.271,0.262,1.145,0.145,-1.140,-0.279,1.082,A
125,0.303,0.353,0.083,0.704,0.262,-0.350,0.220,0.597,-0.185,-0.317,F
126,0.229,-0.009,0.175,0.087,0.172,-0.723,0.107,0.032,-0.310,-0.594,A
127,-0.240,-0.535,0.076,-0.617,0.172,3.097,0.296,-1.553,-1.744,2.729,E
128,-0.092,0.345,0.182,0.723,0.262,1.353,-0.006,-0.943,0.314,1.368,H
129,-0.228,-0.998,0.357,-0.027,0.262,1.311,0.447,-1.221,-0.715,1.062,D
130,0.352,-0.448,0.197,-0.528,0.977,-0.682,-1.894,-0.548,0.688,0.690,I
131,0.081,-0.244,0.214,-0.379,0.262,0.439,1.806,0.507,0.314,-0.427,F
132,-0.203,-0.001,-3.211,-0.527,0.083,0.772,0.409,0.198,0.126,0.588,D
133,0.155,-0.166,-3.211,-1.321,-0.185,-0.308,0.484,0.341,0.158,-0.415,A
134,0.130,-0.158,0.577,-0.671,0.172,-0.848,,0.544,0.594,-0.922,C
135,0.229,-0.354,0.182,0.211,0.262,0.564,0.484,-0.020,-0.092,0.352,A
136,-0.005,-0.283,0.214,-2.422,0.172,-1.554,-2.800,-2.613,-1.589,-2.720,A
137,0.365,-0.048,-0.038,0.328,0.262,-0.308,,0.861,0.095,-0.249,A
138,0.377,0.015,0.381,0.293,0.262,-0.931,0.220,1.369,1.218,-0.843,H
139,-0.030,0.572,5.083,-0.110,-1.258,0.315,0.333,0.893,0.345,0.216,G
140,0.032,0.298,-3.211,-0.584,-0.721,0.799,1.302,-0.207,0.334,0.104,A
141,0.118,-0.299,0.474,-0.204,0.083,0.232,0.635,-0.302,0.126,-0.028,A
142,0.143,-0.370,0.413,0.301,0.172,-0.225,0.333,0.558,-0.248,-0.268,F
143,-0.252,0.070,0.246,0.524,0.262,1.104,1.655,0.474,1.062,0.179,E
144,-0.005,0.054,0.321,0.805,0.172,-0.017,0.786,0.732,1.748,-0.312,X
145,0.118,0.290,0.392,-1.747,0.262,1.187,0.145,0.574,-0.591,1.133,A
146,-0.228,-0.503,0.406,-0.672,0.262,-0.225,0.484,0.597,0.251,-0.344,E
147,-0.203,-0.480,-3.211,-0.888,0.262,-0.723,-0.535,-1.009,0.469,-0.242,D
148,0.476,-0.338,0.047,-0.001,0.977,-0.017,-0.875,-0.817,0.812,0.657,I
149,0.106,-0.150,0.438,0.935,0.262,0.066,0.371,-1.325,-1.932,-0.011,A
150,0.081,0.015,0.065,0.346,0.172,0.523,0.409,0.031,0.064,0.364,A
151,-0.363,-0.009,0.257,-0.226,0.262,0.938,-0.271,1.496,1.280,1.159,E
152,-0.129,0.706,0.413,2.004,0.619,2.225,-1.630,0.236,0.345,3.607,Y
153,0.241,-0.323,0.282,0.275,0.262,-0.806,0.598,1.028,0.376,-0.911,F
154,-0.129,0.384,0.232,1.249,0.262,1.311,0.371,0.037,-0.560,1.101,A
155,-0.005,-0.221,-3.211,1.072,0.262,0.689,0.409,0.032,-0.466,0.522,A
156,0.032,0.141,0.399,-0.817,0.262,-1.305,1.504,0.240,1.249,-1.708,H
157,-0.030,-0.189,0.243,-0.409,0.262,-1.222,-0.044,-0.831,-0.154,-0.977,F
158,0.266,0.557,-0.020,0.177,0.262,-0.557,0.409,0.467,0.563,-0.600,G
159,-0.215,-1.296,0.492,1.050,0.619,-1.471,-1.516,-0.220,0.220,-0.424,X
160,0.130,0.078,-0.045,0.285,-0.096,1.311,0.635,0.256,0.095,0.932,A
161,-0.104,-0.079,0.012,0.221,0.262,-0.723,,0.155,-0.372,-1.042,A
162,-2.573,0.070,0.246,-3.019,0.083,-2.052,0.371,0.529,-3.241,-1.909,H
163,-0.104,-0.197,0.221,0.174,0.262,0.855,-0.120,-0.536,-0.248,0.986,F
164,0.081,-0.244,0.460,0.427,0.262,0.356,0.749,0.142,0.251,0.026,A
165,-2.524,-0.346,-2.350,-0.776,0.172,-0.100,,0.618,-0.092,-0.074,F
166,0.402,-0.221,-3.211,-1.186,-1.168,-0.225,,-0.138,0.282,-0.363,A
167,0.809,-0.095,0.118,0.988,0.977,-1.014,-1.214,-2.237,-1.027,-0.115,I
168,-0.043,-0.417,0.570,-2.225,0.083,2.972,0.409,-0.708,-0.622,2.579,D
169,0.377,-0.079,0.154,-1.103,0.262,-0.266,0.107,0.886,-0.715,-0.180,A
170,0.044,0.196,0.261,-0.394,0.262,0.523,0.220,-0.081,0.345,0.491,G
171,-0.339,-0.268,0.442,0.616,0.440,-0.972,-1.214,0.949,2.808,-0.092,X
172,0.809,-0.095,0.118,0.988,0.977,-0.806,-1.328,1.081,1.436,0.159,I
173,0.007,-0.668,0.477,1.622,0.172,2.308,0.447,-0.059,-0.279,1.929,A
174,-0.043,-0.362,0.470,-0.311,0.262,-0.682,0.107,-0.386,-0.715,-0.549,F
175,-0.228,-0.998,0.357,-0.027,0.262,1.768,0.749,-1.680,-0.622,1.246,D
176,-0.240,0.117,0.236,0.903,0.172,-0.017,0.258,1.137,1.124,0.001,E
177,0.266,0.580,0.115,-0.165,0.262,-0.059,0.447,-0.546,-0.279,-0.181,A
178,0.562,-0.001,-3.211,-2.832,0.262,-0.350,0.220,1.005,0.282,-0.319,A
179,-0.289,0.093,0.403,-0.087,-1.436,0.066,0.484,0.579,0.314,-0.073,E
180,0.155,-0.472,0.509,1.205,0.262,0.232,,0.618,-0.372,0.019,A
181,0.081,-0.071,0.161,1.226,0.172,-0.516,0.145,0.713,0.064,-0.428,A
182,-0.203,-0.016,0.595,-1.582,-0.364,-1.263,0.484,0.915,0.844,-1.259,E
183,0.192,-0.032,0.453,-0.877,0.262,-0.640,0.409,-1.568,-0.560,-0.669,A
184,0.661,-0.205,-3.075,0.471,1.066,0.024,-1.252,0.689,2.060,0.959,I
185,-0.388,0.321,0.108,0.886,0.351,0.772,0.409,0.504,-0.061,0.596,F
186,0.439,0.290,0.143,-0.282,0.262,-0.308,0.371,-0.349,0.189,-0.356,A
187,0.143,-0.448,0.438,0.979,0.262,1.644,-0.044,-0.622,-0.435,1.668,F
188,-0.265,-0.276,0.385,1.344,0.262,0.689,0.145,-0.145,-1.464,0.666,A
189,0.278,-0.197,0.239,-0.738,0.262,0.855,0.635,-1.484,-0.217,0.529,F
190,0.266,0.557,-0.020,0.177,0.262,-0.848,0.447,1.085,0.594,-0.873,G
191,3.266,-0.252,0.125,-2.124,0.977,-1.595,-1.252,1.398,0.812,-0.706,I
192,-0.055,0.203,0.054,-0.029,0.262,1.395,0.145,-0.848,-0.092,1.326,G
193,0.328,-2.427,0.008,-0.545,-0.006,0.107,,-0.200,0.282,0.111,A
194,-0.055,0.227,0.321,-0.906,0.262,0.606,0.862,-1.991,-0.715,0.209,H
195,0.229,0.808,-0.052,0.083,0.262,-0.765,0.371,0.497,-0.092,-0.769,F
196,0.044,0.007,1.349,-1.249,-0.185,-1.222,0.220,1.693,-0.185,-1.104,E
197,4.525,-0.134,0.232,-2.514,-0.900,-0.640,0.220,-0.650,-0.840,-0.566,F
198,-0.512,-0.621,0.492,-2.054,-0.006,3.429,-0.308,-1.188,-1.932,3.521,D
199,-0.215,0.250,0.474,1.187,0.172,1.187,2.410,-0.556,1.124,-0.121,X
200,0.365,-0.001,-0.052,1.293,0.977,-0.225,-0.950,0.615,2.153,0.516,I
201,-0.339,-0.291,0.520,1.054,0.262,-0.100,-0.271,1.123,0.220,0.165,E
202,-0.154,-0.228,0.488,0.580,0.262,0.481,0.333,1.022,0.033,0.366,A
203,,-0.315,0.399,0.771,0.709,0.564,-1.328,-0.144,0.875,1.555,Y
204,-0.339,-0.291,0.520,1.054,0.262,1.270,0.258,0.265,0.438,1.137,E
205,0.143,0.486,0.100,-0.449,0.172,0.232,0.220,0.029,0.469,0.232,A
206,0.056,-0.291,0.239,0.768,0.172,0.689,0.069,0.172,-0.029,0.720,A
207,-3.499,10.653,-3.211,0.065,-4.922,-0.391,0.145,1.342,-1.027,-0.309,A
208,0.291,-0.181,0.442,-1.340,0.262,-0.516,,-0.677,0.064,-0.447,F
209,-0.043,0.141,0.090,0.072,0.262,1.395,0.258,-2.151,-1.495,1.247,A
210,0.081,-0.071,0.161,1.226,0.172,-0.266,-3.140,0.620,0.501,-1.792,A
211,0.352,-0.448,0.197,-0.528,0.977,-0.350,-0.950,-0.821,0.844,0.374,I
212,0.167,-0.323,0.307,-0.544,0.262,-0.765,0.107,-0.039,-0.248,-0.639,F
213,-3.499,0.674,0.211,-1.549,-4.922,-0.433,0.522,0.412,-0.029,-0.547,A
214,0.217,0.125,-3.211,-0.887,0.262,-0.142,0.409,0.375,0.158,-0.225,A
215,0.044,0.031,0.538,-2.245,0.262,-1.595,0.258,-2.031,-0.934,-1.449,E
216,-0.055,0.227,0.321,-0.906,0.262,0.855,0.786,-2.239,-1.838,0.492,H
217,-3.499,-0.754,0.477,1.600,-4.922,0.730,0.711,0.500,-0.871,0.380,X
218,0.069,-0.016,0.275,-0.036,0.262,-0.599,,-0.128,0.688,-0.529,H
219,0.291,0.156,0.136,1.401,0.083,-0.225,-0.044,0.668,0.002,-0.062,A
220,0.069,0.227,0.015,-0.610,-1.079,1.021,0.333,-0.810,-0.217,0.847,A
221,0.081,-0.291,0.357,0.227,0.262,-0.723,0.333,-0.246,-0.809,-0.709,F
222,0.180,-0.213,0.132,-1.307,0.262,0.398,0.673,0.852,0.376,0.111,A
223,0.081,0.203,0.310,0.270,0.262,-0.183,0.258,0.590,0.126,-0.179,H
224,0.130,-0.158,0.577,-0.671,0.172,-0.806,0.333,-1.030,-0.778,-0.784,C
225,0.032,-0.119,0.374,-0.067,0.262,0.439,0.145,-0.616,0.438,0.438,A
226,0.229,-0.181,0.232,-0.893,0.262,-1.180,-0.120,0.213,0.376,-0.903,F
227,0.118,0.235,0.051,0.220,0.262,-0.516,0.333,-0.494,-0.622,-0.533,A
228,0.130,-0.315,0.417,1.051,0.083,1.685,0.937,0.015,-0.061,1.097,A
229,-0.043,-0.362,0.470,-0.311,0.262,-1.097,-0.120,0.507,0.251,-0.827,F
230,-0.252,-0.064,0.595,0.891,0.530,0.481,-3.479,1.003,2.465,-0.953,X
231,-0.067,0.337,0.221,-0.311,0.262,0.896,0.031,-0.259,-0.123,0.930,G
232,-0.005,0.612,0.022,1.012,0.262,0.232,0.484,1.097,0.220,0.053,A
233,0.414,-0.472,0.239,1.018,0.887,-1.388,-1.177,-2.021,-2.150,-0.541,I
234,-0.191,-0.692,0.282,-0.194,0.172,-0.100,0.409,0.137,1.249,-0.194,E
235,0.266,0.211,0.115,0.938,0.262,1.228,0.371,0.889,-0.372,1.014,A
236,-0.129,0.070,0.314,0.511,0.083,0.855,0.371,-0.151,0.314,0.678,H
237,0.241,-0.323,0.310,0.491,0.262,0.398,0.409,0.538,-0.061,0.255,A
238,-0.635,-0.448,0.300,1.408,0.172,0.356,-1.592,0.959,1.717,1.581,Y
239,0.180,-0.173,0.122,-1.139,0.172,-1.138,0.145,-1.026,-0.528,-0.995,A
240,-0.067,0.337,0.221,-0.311,0.262,-0.557,0.296,0.959,0.314,-0.540,G
241,-0.117,0.203,5.492,1.853,-1.436,2.017,0.107,0.043,-0.154,1.901,A
242,-0.104,-0.456,0.485,0.144,0.262,-0.059,0.220,-0.084,-0.871,-0.046,F
243,-0.462,0.353,0.150,0.560,0.262,1.395,-0.044,-0.507,0.033,1.429,E
244,0.340,0.400,0.207,-0.725,0.262,-0.848,-0.006,-0.547,0.158,-0.657,A
245,0.081,-0.244,0.214,-0.379,0.262,0.024,,-0.818,-0.965,-0.152,F
246,0.143,-0.142,0.246,0.789,-1.347,1.228,0.673,0.346,-0.029,0.836,A
247,0.118,-0.213,0.232,0.807,-1.079,-0.017,0.484,-0.692,-1.401,-0.157,A
248,-0.141,1.554,0.541,-0.649,-1.258,1.311,-0.157,0.334,0.126,1.467,D
249,-0.092,-0.119,0.189,1.280,0.262,0.813,0.069,0.254,-1.058,0.823,A
250,-0.438,0.423,0.389,0.621,0.172,-0.640,0.258,1.156,0.438,-0.589,E
251,0.229,-0.228,0.325,-0.869,0.262,-0.972,0.107,-0.408,0.095,-0.825,F
252,0.167,0.117,0.047,-0.175,0.262,0.647,0.258,-0.849,-0.466,0.562,A
253,0.390,-0.221,-3.211,-2.624,0.262,0.523,0.484,-1.702,-1.246,0.323,A
254,-0.018,-0.330,0.488,-0.183,0.172,-0.972,-0.044,-0.628,-0.591,-0.736,F
255,0.118,0.627,0.076,0.832,0.262,1.478,0.409,-0.224,-0.092,1.210,A
256,-3.499,16.966,0.385,1.655,-4.922,-1.803,-2.536,3.558,-3.896,-2.835,E
257,-0.240,-0.299,0.694,0.956,0.619,-0.350,-1.252,1.688,1.405,0.621,Y
258,0.303,0.023,0.147,-1.816,0.262,-0.682,0.258,-1.252,-0.404,-0.635,A
259,0.069,0.290,0.108,1.267,0.262,1.104,0.069,1.320,-0.248,1.101,A
260,0.180,2.661,0.097,-1.474,-0.006,-0.599,0.598,0.803,0.688,-0.725,G
261,-0.561,0.329,0.296,0.756,0.262,-0.433,-0.120,1.540,0.812,-0.200,E
262,0.217,0.298,0.250,-0.041,0.262,-0.806,-0.044,0.761,0.532,-0.594,A
263,0.143,-0.244,-3.207,0.166,0.887,1.145,-1.063,0.291,0.688,1.964,I
264,0.093,-0.056,0.068,0.305,0.262,1.395,1.013,0.109,-0.092,0.771,A
265,0.019,0.525,0.068,0.167,0.262,-0.350,0.145,0.167,0.189,-0.272,F
266,-0.475,0.447,-3.211,-0.716,0.351,4.509,0.598,-2.384,-2.680,3.744,A
267,0.130,-0.213,0.325,0.386,0.262,0.066,0.635,0.325,-0.029,-0.161,F
268,0.155,-0.276,0.417,0.814,0.262,-0.516,0.333,0.733,0.345,-0.524,A
269,-0.043,-0.464,0.392,0.227,0.262,-0.682,0.522,0.394,-0.279,-0.764,E
270,-0.166,-0.268,0.257,0.052,0.262,0.149,0.447,0.435,-0.123,0.041,A
271,0.328,0.502,0.051,-1.018,0.262,-0.474,0.673,-0.351,-0.248,-0.656,G
272,0.106,0.290,0.172,-0.220,0.262,-0.806,0.447,0.217,-0.061,-0.831,A
273,-0.240,-0.299,0.694,0.956,0.619,0.149,-1.705,0.855,2.184,1.436,Y
274,-3.499,17.570,0.054,0.428,-4.922,-1.138,0.975,1.374,-1.776,-1.357,C
275,0.019,0.619,0.033,-0.184,0.262,1.062,-0.308,-2.436,-1.620,1.248,G
276,0.032,0.298,-3.211,-0.584,-0.721,-0.225,0.900,0.829,0.220,-0.547,A
277,-0.141,1.554,0.541,-0.649,-1.258,2.516,-0.006,-0.903,-1.869,2.436,D
278,0.044,0.408,0.047,0.461,0.262,-0.682,-0.044,0.769,0.095,-0.480,F
279,0.377,0.180,0.065,-1.534,0.262,0.315,0.371,-0.478,-0.404,0.196,A
280,-0.154,9.656,0.054,0.566,-1.079,1.062,0.258,0.487,0.251,0.931,F
281,-0.252,-0.064,0.595,0.891,0.530,-0.516,2.221,-0.349,0.220,-0.676,X
282,0.155,-0.236,0.015,0.559,0.172,-0.723,0.031,1.170,-2.399,-0.557,A
283,-0.166,0.007,-2.172,-0.166,0.262,-1.388,-0.346,1.663,0.875,-0.979,E
284,0.266,0.580,0.115,-0.165,0.262,-0.640,0.371,0.598,0.220,-0.655,A
285,0.229,0.125,0.182,0.686,0.262,0.564,0.673,0.355,-0.123,0.250,A
286,0.254,-0.338,-3.211,-1.791,0.351,-0.599,,0.138,-0.154,-0.523,A
287,0.575,0.086,0.310,-2.168,0.262,-1.305,,-1.935,-0.684,-1.323,H
288,0.229,0.572,0.051,-0.980,-0.275,-2.883,-2.913,1.470,-1.651,-3.615,A
289,0.204,-0.276,0.360,-0.279,0.262,-0.599,0.258,0.731,0.189,-0.556,A
